,Date,Close,High,Low,Open,Volume
0,2007-05-10,20.395549774169922,21.255835391344455,19.912242916221203,20.395549774169922,20007900
1,2007-05-11,21.120506286621094,21.65214299788749,20.42454335560295,20.42454335560295,3692100
2,2007-05-14,21.555482864379883,21.893797998165134,21.120507844086696,21.26549951751776,1652800
3,2007-05-15,20.298887252807617,21.671478750315664,20.037901117076608,21.12050924844083,2002500
4,2007-05-16,22.174118041992188,22.61875944394689,21.652145776738312,21.739141154280624,5229300
5,2007-05-17,22.241783142089844,23.247060507487916,22.174120472954424,22.560765613492144,2501800
6,2007-05-18,22.222444534301758,22.66708771082386,21.603812473403845,22.473764269958778,1392700
7,2007-05-21,22.860416412353516,23.044073553883592,21.942134392042217,22.23211779978904,1066200
8,2007-05-22,23.150400161743164,23.585375245141677,22.483436154795474,22.860414929141402,1476300
9,2007-05-23,23.102066040039062,23.77869633759634,23.005404305578132,23.450047546630717,888400
10,2007-05-24,22.280447006225586,23.19873083942044,21.748810161956662,23.16973176215015,1107100
11,2007-05-25,22.7250919342041,23.18906614175413,22.1837886920624,22.1837886920624,400100
12,2007-05-29,22.464099884033203,23.285721814276602,22.30944185524258,23.237391871655458,881000
13,2007-05-30,22.125783920288086,22.328773727713997,21.951793183542748,22.000124968010375,373400
14,2007-05-31,22.135452270507812,22.280443949629262,21.304165783165864,22.23211400447852,950800
15,2007-06-01,22.270782470703125,22.473770480403484,21.74881014232595,21.845471889470186,585100
16,2007-06-04,22.52210235595703,22.957079333426655,21.96146638703487,22.02913090638431,835200
17,2007-06-05,22.62842559814453,22.79274999383741,22.038790676481387,22.087122465608257,591500
18,2007-06-06,22.33843994140625,22.609090558013705,22.038788410635068,22.32877358457469,545300
19,2007-06-07,22.009794235229492,22.54143102898759,21.777807170116724,22.270780374857345,427200
20,2007-06-08,21.671483993530273,21.729480312056854,21.333168755397388,21.65215127279817,764900
21,2007-06-11,21.971126556396484,21.990459270763456,20.791858635047852,21.748805872183638,547300
22,2007-06-12,21.874467849731445,22.03879225721047,21.45882549544391,21.45882549544391,337000
23,2007-06-13,22.52210235595703,22.638096831172145,21.893803711355073,21.893803711355073,887600
24,2007-06-14,22.937744140625,23.44038373958333,22.638094390490757,22.9474104994899,1291100
25,2007-06-15,23.885021209716797,23.9913492958631,22.81208136567435,23.06340112332162,2268700
26,2007-06-18,25.131954193115234,25.131954193115234,24.10734426916175,24.146007855366264,1625100
27,2007-06-19,24.658313751220703,25.566931073335237,24.26200231316771,25.518599285969522,1972600
28,2007-06-20,24.49399185180664,25.325280242321845,24.271671138328642,24.67764897513033,1421300
